YYYYMM,Hydro,Coal,Gas,Diesel,Nuclear,RES,Total
196002.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196003.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196004.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196005.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196006.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196007.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196008.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196009.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196010.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196011.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196012.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196101.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196102.0,1061.0,1597.0,0.0,228.0,0.0,0.0,2886.0
196103.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196104.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196105.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196106.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196107.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196108.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196109.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196110.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196111.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196112.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196201.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196202.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196203.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196204.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196205.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196206.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196207.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196208.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196209.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196210.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196211.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196212.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196301.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196302.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196303.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196304.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196305.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196306.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196307.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196308.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196309.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196310.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196311.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196312.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196401.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196402.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196403.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196404.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196405.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196406.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196407.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196408.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196409.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196410.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196411.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196412.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196501.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196502.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196503.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196504.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196505.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196506.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196507.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196508.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196509.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196510.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196511.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196512.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196601.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196602.0,1917.0,2436.0,0.0,300.0,0.0,0.0,4653.0
196603.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196604.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196605.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196606.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196607.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196608.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196609.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196610.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
196611.0,4124.0,4417.0,134.0,352.0,0.0,0.0,9027.0
